Time,AMB_LIGHT,PRESSURE,TEMPERATURE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z
12:04:17,3,33,27,-1.24,-0.557,0.227,-75.854,44.024,315.915
12:04:18,1,34,27,-1.24,-0.557,0.227,-28.78,55.549,344.146
12:04:19,2,35,27,-1.884,-0.687,0.251,27.256,87.134,372.012
12:04:20,0,33,28,-1.884,-0.687,0.251,2.866,117.683,356.463
12:04:21,0,33,28,-1.597,-0.646,0.112,10,30.671,126.768
12:04:22,0,32,28,-1.096,-0.204,0.179,21.524,40.427,26.89
12:04:23,8,34,28,-0.86,-0.527,0.235,-103.537,3.293,-39.939
12:04:24,7,35,28,-0.86,-0.527,0.235,-127.866,-0.366,-21.28
12:04:25,0,34,28,-0.827,-0.458,0.128,-92.317,2.561,-5.366
12:04:26,0,35,28,-0.827,-0.458,0.128,-30.976,6.707,-10
12:04:27,11,36,28,-1.089,-0.367,0.094,11.463,8.232,-30.183
12:04:28,13,35,28,-1.238,-0.287,0.144,22.134,5.915,-86.707
12:04:29,11,35,28,-1.238,-0.287,0.144,25.488,9.817,-114.817
12:04:30,7,35,28,-1.178,-0.215,0.086,73.171,-2.805,-119.878
12:04:31,0,36,28,-1.003,-0.017,0.084,101.22,-19.817,-88.598
12:04:32,4,34,28,-1.003,-0.017,0.084,20.671,-14.573,-81.098
12:04:33,0,35,28,-0.876,-0.185,0.06,-55.488,-8.11,-70.427
12:04:34,0,37,28,-0.876,-0.185,0.06,-69.39,-5.671,-34.878
12:04:35,0,37,28,-0.857,-0.299,0.013,4.512,0.061,37.561
12:04:36,3,35,28,-0.958,-0.267,0.081,23.537,3.537,65.305
12:04:37,0,36,27,-0.958,-0.267,0.081,17.5,9.512,85.549
12:04:38,0,36,27,-1.093,-0.312,0.119,8.171,14.573,96.463
12:04:39,0,35,27,-1.093,-0.312,0.119,8.476,14.634,96.646
12:04:40,0,35,27,-1.111,-0.34,0.113,17.744,12.561,87.439
12:04:41,0,35,27,-1.041,-0.321,0.115,16.037,2.439,48.598
12:04:42,0,35,27,-1.004,-0.324,0.095,-9.329,-4.024,7.744
12:04:43,0,33,27,-0.991,-0.314,0.068,-15.061,-5.183,-21.098
12:04:44,0,33,27,-0.991,-0.314,0.068,-10.915,-3.963,-30.488
12:04:45,0,33,27,-1.01,-0.292,0.072,-4.207,-2.805,-38.049
12:04:46,0,31,27,-1.01,-0.292,0.072,2.317,-0.793,-44.939
12:04:47,0,30,27,-1.026,-0.264,0.086,7.805,1.829,-49.573
12:04:48,0,31,27,-1.026,-0.264,0.086,12.622,1.89,-51.463
12:04:49,0,30,27,-1.005,-0.231,0.093,12.683,0.854,-42.256
12:04:50,0,33,27,-0.97,-0.223,0.097,7.927,1.098,-32.134
12:04:51,0,32,27,-0.97,-0.223,0.097,3.11,1.951,-19.39
12:04:52,0,34,27,-0.958,-0.24,0.096,0.61,1.829,-5.427
12:04:53,0,32,27,-0.966,-0.267,0.103,-4.756,2.927,20.793
12:04:54,0,34,27,-0.966,-0.267,0.103,-5.976,2.988,32.256
12:04:55,0,34,27,-0.989,-0.29,0.108,-8.841,3.11,39.939
12:04:56,0,36,27,-0.989,-0.29,0.108,-21.829,3.537,42.5
12:04:57,0,36,27,-1.039,-0.35,0.076,-31.159,2.134,41.585
12:04:58,0,35,27,-1.032,-0.35,0.065,0.305,-0.366,33.232
12:04:59,0,35,27,-1.032,-0.35,0.065,3.72,0.488,22.866
12:05:00,2,35,27,-0.982,-0.324,0.095,2.073,2.622,10.976
12:05:01,0,35,27,-0.982,-0.324,0.095,5.061,1.22,-0.122
12:05:02,0,36,27,-1.05,-0.176,0.233,10.366,-6.707,-9.39
12:05:03,0,36,27,-1.05,-0.176,0.233,-57.5,-30.976,-33.11
12:05:04,0,37,27,-1.098,-0.133,0.158,-535.183,-72.805,-137.378
12:05:05,0,37,27,-0.887,-0.946,-0.381,-482.744,-49.024,-136.89
12:05:06,0,37,27,-0.887,-0.946,-0.381,-127.317,6.829,-97.805
12:05:07,0,37,27,-0.938,-0.433,-0.204,202.5,30.244,-78.049
12:05:08,0,37,27,-0.943,-0.003,0.106,47.683,-9.634,-55
12:05:09,0,37,27,-0.82,-0.422,-0.063,-122.073,-27.5,-32.317
12:05:10,0,37,27,-0.82,-0.422,-0.063,-56.524,-21.402,-10.793
12:05:11,0,37,27,-0.794,-0.484,-0.012,6.341,-13.659,48.11
12:05:12,0,36,27,-0.788,-0.668,-0.026,2.744,-22.805,85.976
12:05:13,7,37,27,-0.819,-0.837,-0.044,132.866,-8.902,94.695
12:05:14,0,37,27,-0.84,-0.794,0.178,229.512,7.195,97.195
12:05:15,0,35,27,-0.84,-0.794,0.178,294.024,29.024,82.988
12:05:16,0,35,27,-0.85,-0.997,0.928,258.049,28.049,44.695
12:05:17,0,37,28,-0.85,-0.997,0.928,214.329,0.61,-1.524
12:05:18,6,37,28,-1.119,-1.109,0.937,138.293,-52.012,-57.073
12:05:19,5,38,28,-1.119,-1.109,0.937,117.622,-89.573,-95.244
12:05:20,0,39,28,-1.208,-0.702,0.389,112.561,-116.037,-133.963
12:05:21,0,37,28,-0.963,-0.293,0.254,86.768,-112.073,-134.39
12:05:22,0,36,28,-0.963,-0.293,0.254,76.402,-95.244,-116.829
12:05:23,0,33,28,-0.653,-0.115,0.378,50.183,-50.854,-56.28
12:05:24,0,30,28,-0.501,-0.112,0.448,52.744,-32.744,-29.817
12:05:25,0,30,28,-0.501,-0.112,0.448,56.22,-12.805,-13.841
12:05:26,1,31,28,-0.394,-0.122,0.422,12.134,2.256,-11.22
12:05:27,0,35,28,-0.394,-0.122,0.422,32.683,20.732,10.915
12:05:28,0,35,28,-0.297,-0.063,0.44,26.159,55.793,30.305
12:05:29,3,36,28,-0.279,-0.055,0.517,33.841,72.927,42.195
12:05:30,4,36,28,-0.279,-0.055,0.517,28.232,75.305,36.463
12:05:31,18,35,28,-0.165,-0.13,0.6,83.11,75.61,33.354
12:05:32,23,33,28,-0.165,-0.13,0.6,110.122,71.585,24.634
12:05:33,25,33,28,-0.133,0.197,0.221,114.146,28.354,22.561
12:05:34,24,33,28,-3.066,-0.699,-1.536,14.512,48.659,30.854
12:05:35,19,35,28,-3.066,-0.699,-1.536,-72.073,110.671,-187.988
12:05:36,21,37,28,-3.841,-0.825,3.09,-219.329,-58.232,-299.146
12:05:37,0,40,28,-3.841,-0.825,3.09,-80.488,-62.378,-260.61
12:05:38,18,39,28,0.631,-0.494,0.927,-19.329,-122.866,-136.585
12:05:39,0,36,28,-0.375,-0.359,-0.055,-49.695,-66.037,-11.829
12:05:40,3,35,28,-0.375,-0.359,-0.055,-13.963,-0.061,-2.012
12:05:41,0,33,28,-1.725,-0.966,0.8,-59.329,96.463,-17.683
12:05:42,1,32,28,-1.725,-0.966,0.8,-118.963,148.963,30.61
12:05:43,0,31,28,-0.944,-0.776,0.372,-60.671,116.951,101.524
12:05:44,0,30,28,-0.944,-0.776,0.372,-4.878,67.439,131.768
